road,id,model_type,name,lat,lon,length,condition
N1,100253,link,LRP175a,22.855999999999998,91.5457219,0.0,R
N1,100254,bridge,LRP173b,22.8551475327433,91.5458221849557,1.5,A
N1,100255,link,LRP175b,22.8550556,91.545833,722.0000000000084,R
N1,100256,bridge,LRP174a,22.8486172764705,91.5463706117647,8.5,A
N1,100257,link,LRP176a,22.8485274,91.5463886,10.000000000019327,R
N1,100258,bridge,LRP174b,22.8453914894736,91.5474689210526,3.0,A
N1,100259,link,LRP176c,22.8452219,91.5475274,0.0,R
N1,100260,bridge,LRP174c,22.8434551375,91.54814955625,1.5,A
N1,100261,link,LRP176d,22.8432497,91.5482219,0.0,R
N1,100262,bridge,LRP175a,22.8410943334277,91.5488096951841,3.0,A
N1,100263,link,LRP177,22.8401941,91.5490552,314.0000000000214,R
N1,100264,bridge,LRP175b,22.8327467692419,91.5501035014577,3.0,A
N1,100265,link,LRP178,22.8313882,91.55036109999999,0.0,R
N1,100266,bridge,LRP176a,22.8309613422018,91.5505028545871,4.5,A
N1,100267,link,LRP178a,22.8239438,91.5528333,1127.999999999986,R
N1,100268,bridge,LRP179a,22.811563437647,91.5562562129411,9.5,B
N1,100269,link,LRP180a,22.8110556,91.5563889,1659.9999999999966,R
N1,100270,bridge,LRP181a,22.7941813523326,91.5629612622718,4.5,A
N1,100271,link,LRP182a,22.7934163,91.5633333,507.000000000005,R
N1,100272,bridge,LRP182a,22.7821968918511,91.5691025661971,23.2,B
N1,100273,link,LRP183a,22.7813327,91.5695271,507.0000000000334,R
N1,100274,bridge,LRP183b,22.774197092,91.5728737519999,6.0,A
N1,100275,link,LRP184c,22.7732771,91.5733604,23.999999999972488,R
N1,100276,bridge,LRP184a,22.770251666098,91.5750905211087,9.7,A
N1,100277,link,LRP185a,22.7693604,91.5756104,530.9999999999775,R
N1,100278,bridge,LRP185a,22.7630626913907,91.5804538821192,4.0,A
N1,100279,link,LRP186a,22.7621944,91.5811382,546.999999999997,R
N1,100280,bridge,LRP186a,22.7535653245121,91.5886004236585,12.9,A
N1,100281,link,LRP187a,22.7526389,91.5893608,180.00000000000682,R
N1,100282,bridge,LRP187a,22.7506393495689,91.5908840370689,3.0,A
N1,100283,link,LRP188a,22.749638600000004,91.5916386,0.0,R
