,road,km,LRPName,condition,lat,lon
434,N1,450.446,LRP446b,A,20.9373888888888,92.2624444444444
435,N1,450.599,LRP446d,A,20.9351944444444,92.2628055555555
436,N1,450.759,LRP447a,A,20.9348888888888,92.2630555555555
437,N1,450.943,LRP447b,A,20.9330555555555,92.2635277777777
438,N1,452.561,LRP448c,A,20.9942497,92.2545278
439,N1,452.624,LRP449a,A,20.9875274,92.2545556
440,N1,452.793,LRP449c,A,20.9176944444444,92.2693888888888
441,N1,454.219,LRP450c,A,20.9068611111111,92.2766111111111
442,N1,454.33,LRP450d,A,20.91799614,92.2691008942857
444,N1,454.498,LRP450e,A,20.9047777777777,92.278
445,N1,454.769,LRP451b,A,20.9025833333333,92.2793611111111
446,N1,455.062,LRP451c,A,20.9126751559322,92.2727211220339
447,N1,455.206,LRP451e,A,20.8996111111111,92.2815
448,N1,455.366,LRP451f,A,20.9104284959641,92.2741396026905
449,N1,455.447,LRP451h,A,20.909823120852,92.2745431860986
451,N1,455.496,LRP451i,A,20.909456906278,92.2747873291479
453,N1,455.688,LRP452a,A,20.8974722222222,92.2852777777777
454,N1,455.765,LRP452c,A,20.8972222222222,92.2863888888889
455,N1,455.975,LRP452d,A,20.8952222222222,92.2878611111111
456,N1,456.064,LRP452e,A,20.8947777777777,92.2881944444444
457,N1,456.164,LRP452f,A,20.9045718551546,92.2780768381443
458,N1,456.287,LRP452h,A,20.9036912639175,92.2786932329896
459,N1,456.359,LRP452i,A,20.9032027737864,92.2790446582524
460,N1,456.549,LRP452j,A,20.9018849327974,92.2798735897106
461,N1,457.365,LRP453a,A,20.9580833,92.2543056
462,N1,457.751,LRP454a,A,20.9660278,92.2579167
464,N1,458.213,LRP454b,A,20.9482774,92.2589167
465,N1,459.681,LRP456a,A,20.8689444444444,92.2982222222222
