,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,economic_importance,road_segment
165,3379.0,N,23.43244137,91.15863058,0,link,10165,N1,,96.25415999999998,21168960.0,N1-23
166,35.97,C,23.42124877,91.16789434,,bridge,10166,N1,,96.29012999999999,21168960.0,N1-23
167,2508.0,N,23.416590600000003,91.18089866,0,link,10167,N1,,98.79812999999999,21168960.0,N1-23
168,27.35,C,23.41193242,91.19390298,,bridge,10168,N1,,98.82547999999998,21168960.0,N1-23
169,3657.0,N,23.40479212,91.20866256,0,link,10169,N1,,102.48247999999998,21168960.0,N1-23
170,27.9,A,23.39765182,91.22342213,,bridge,10170,N1,,102.51037999999998,21168960.0,N1-23
171,3681.0,N,23.3845083,91.23421984,0,link,10171,N1,,106.19137999999998,21168960.0,N1-24
172,30.48,A,23.37136478,91.24501754,,bridge,10172,N1,,106.22185999999998,21168960.0,N1-24
173,2518.0,N,23.36176423,91.25115431,0,link,10173,N1,,108.73985999999998,21168960.0,N1-24
174,22.8,C,23.35216368,91.25729107,,bridge,10174,N1,,108.76265999999998,21168960.0,N1-24
175,1297.0,N,23.34741757,91.26088836,0,link,10175,N1,,110.05965999999998,21168960.0,N1-24
176,14.3,A,23.34267147,91.26448564,,bridge,10176,N1,,110.07395999999999,21168960.0,N1-24
177,1766.0,N,23.33640885,91.26968246,0,link,10177,N1,,111.83995999999999,21168960.0,N1-24
178,24.0,A,23.33014623,91.27487928,,bridge,10178,N1,,111.86395999999999,21168960.0,N1-24
179,1606.0,N,23.32410796,91.27898301,0,link,10179,N1,,113.46995999999999,21168960.0,N1-24
180,9.2,A,23.31806969,91.28308673,,bridge,10180,N1,,113.47916,21168960.0,N1-24
181,1164.0,N,23.31321548,91.28483272,0,link,10181,N1,,114.64316,21168960.0,N1-24
182,19.2,B,23.30836127,91.2865787,,bridge,10182,N1,,114.66235999999999,21168960.0,N1-24
183,608.0,N,23.30589596,91.28777787,0,link,10183,N1,,115.27036,21168960.0,N1-24
184,2.6,B,23.30343065,91.28897704,,bridge,10184,N1,,115.27296,21168960.0,N1-24
185,654.0,N,23.30069909,91.28999559,0,link,10185,N1,,115.92696,21168960.0,N1-24
186,3.2,A,23.29796753,91.29101414,,bridge,10186,N1,,115.93016,21168960.0,N1-24
187,958.0,N,23.29383708,91.2919863,0,link,10187,N1,,116.88816,21168960.0,N1-24
188,13.4,A,23.28970664,91.29295847,,bridge,10188,N1,,116.90156,21168960.0,N1-24
189,960.0,N,23.28595078,91.29481199,0,link,10189,N1,,117.86156,21168960.0,N1-24
190,4.6,B,23.28219493,91.29666551,,bridge,10190,N1,,117.86616,21168960.0,N1-24
191,1248.0,N,23.27760694,91.29981585,0,link,10191,N1,,119.11416,15459680.0,N1-25
192,6.3,B,23.27301895,91.30296619,,bridge,10192,N1,,119.12046,15459680.0,N1-25
193,1335.0,N,23.26742752,91.30499396,0,link,10193,N1,,120.45545999999999,15459680.0,N1-25
194,3.0,B,23.26183609,91.30702174,,bridge,10194,N1,,120.45845999999999,15459680.0,N1-25
195,274.0,N,23.26062637,91.30719142,0,link,10195,N1,,120.73245999999999,15459680.0,N1-25
196,3.0,B,23.25941665,91.3073611,,bridge,10196,N1,,120.73545999999999,15459680.0,N1-25
197,199.0,N,23.25852981,91.30748837,0,link,10197,N1,,120.93445999999999,15459680.0,N1-25
198,3.6,B,23.25764298,91.30761565,,bridge,10198,N1,,120.93806,15459680.0,N1-25
199,549.0,N,23.25519466,91.30800414,0,link,10199,N1,,121.48706,15459680.0,N1-25
200,4.5,B,23.25274634,91.30839264,,bridge,10200,N1,,121.49155999999999,15459680.0,N1-25
201,1013.0,N,23.24856893,91.30989793,0,link,10201,N1,,122.50456,15459680.0,N1-25
202,2.5,B,23.24439151,91.31140323,,bridge,10202,N1,,122.50706,15459680.0,N1-25
203,182.0,N,23.24364779,91.31168859,0,link,10203,N1,,122.68906,15459680.0,N1-25
204,19.2,B,23.24290406,91.31197395,,bridge,10204,N1,,122.70826,15459680.0,N1-25
205,358.0,N,23.24134805,91.31227402,0,link,10205,N1,,123.06626,15459680.0,N1-25
206,2.6,A,23.23979203,91.31257409,,bridge,10206,N1,,123.06886,15459680.0,N1-25
207,422.0,N,23.23793399,91.31278214,0,link,10207,N1,,123.49086,15459680.0,N1-25
208,2.5,A,23.23607595,91.3129902,,bridge,10208,N1,,123.49336,15459680.0,N1-25
209,807.0,N,23.23249777,91.31320613,0,link,10209,N1,,124.30036,15459680.0,N1-25
210,3.1,B,23.22891959,91.31342207,,bridge,10210,N1,,124.30346,15459680.0,N1-25
211,334.0,N,23.22741902,91.31349589,0,link,10211,N1,,124.63746,15459680.0,N1-25
212,2.6,B,23.22591845,91.31356972,,bridge,10212,N1,,124.64006,15459680.0,N1-25
213,438.0,N,23.22397617,91.31363516,0,link,10213,N1,,125.07806000000001,15459680.0,N1-25
214,6.0,A,23.2220339,91.31370059,,bridge,10214,N1,,125.08406000000001,15459680.0,N1-25
215,1006.0,N,23.21761473,91.31452517,0,link,10215,N1,,126.09006000000001,15459680.0,N1-25
216,14.3,B,23.21319557,91.31534974,,bridge,10216,N1,,126.10436000000001,15459680.0,N1-25
217,933.0,N,23.2091171,91.31583323,0,link,10217,N1,,127.03736000000002,15459680.0,N1-25
218,6.1,A,23.20503863,91.31631673,,bridge,10218,N1,,127.04346000000002,15459680.0,N1-25
219,1036.0,N,23.20061371,91.31699362,0,link,10219,N1,,128.07946,15459680.0,N1-25
220,6.1,A,23.1961888,91.31767051,,bridge,10220,N1,,128.08556000000002,15459680.0,N1-25
221,1078.0,N,23.19181191,91.31928782,0,link,10221,N1,,129.16356000000002,15459680.0,N1-25
222,6.1,C,23.18743503,91.32090513,,bridge,10222,N1,,129.16966000000002,15459680.0,N1-25
223,665.0,N,23.18461542,91.32089194,0,link,10223,N1,,129.83466,15459680.0,N1-25
224,9.5,B,23.18179581,91.32087875,,bridge,10224,N1,,129.84416000000002,15459680.0,N1-25
225,1064.0,N,23.17721152,91.32072811,0,link,10225,N1,,130.90816,15459680.0,N1-25
226,3.1,B,23.17262723,91.32057746,,bridge,10226,N1,,130.91126,15459680.0,N1-25
227,1038.0,N,23.16807055,91.32108321,0,link,10227,N1,,131.94926,15459680.0,N1-25
228,9.5,A,23.16351387,91.32158895,,bridge,10228,N1,,131.95876,15459680.0,N1-25
229,1225.0,N,23.15812518,91.32295341,0,link,10229,N1,,133.18376,15459680.0,N1-25
230,6.3,B,23.15273649,91.32431788,,bridge,10230,N1,,133.19006000000002,15459680.0,N1-25
231,1094.0,N,23.14820163,91.32549296,0,link,10231,N1,,134.28406,15459680.0,N1-25
232,3.5,B,23.14366677,91.32666805,,bridge,10232,N1,,134.28756,15459680.0,N1-25
233,524.0,N,23.14132804,91.32651329,0,link,10233,N1,,134.81156000000001,15459680.0,N1-25
234,6.1,B,23.13898932,91.32635853,,bridge,10234,N1,,134.81766000000002,15459680.0,N1-25
235,664.0,N,23.13612664,91.32695248,0,link,10235,N1,,135.48166,15459680.0,N1-25
236,3.0,B,23.13326397,91.32754642,,bridge,10236,N1,,135.48466,15459680.0,N1-25
237,957.0,N,23.12925016,91.32896639,0,link,10237,N1,,136.44165999999998,15459680.0,N1-25
238,6.5,A,23.12523636,91.33038637,,bridge,10238,N1,,136.44815999999997,15459680.0,N1-25
239,665.0,N,23.12246687,91.33160144,0,link,10239,N1,,137.11315999999997,15459680.0,N1-25
240,4.5,B,23.11969738,91.33281651,,bridge,10240,N1,,137.11765999999997,15459680.0,N1-25
241,502.0,N,23.11776127,91.3339555,0,link,10241,N1,,137.61965999999998,15459680.0,N1-25
